--------------------------------------------------------------------------------
Process Log Fri Apr 26 19:28:06 2019
--------------------------------------------------------------------------------
{'name': 'SearchUI.exe', 'username': 'NTNET\\pratibal', 'pid': 7976, 'vms': 75.93359375} 
{'name': 'OUTLOOK.EXE', 'username': 'NTNET\\pratibal', 'pid': 8068, 'vms': 469.2890625} 
{'name': 'conhost.exe', 'username': 'NTNET\\pratibal', 'pid': 8084, 'vms': 7.53125} 
{'name': 'svchost.exe', 'username': 'NTNET\\pratibal', 'pid': 8296, 'vms': 3.43359375} 
{'name': 'audiodg.exe', 'username': None, 'pid': 8624, 'vms': 7.3515625} 
{'name': 'conhost.exe', 'username': 'NTNET\\pratibal', 'pid': 8760, 'vms': 4.875} 
{'name': 'RdrCEF.exe', 'username': 'NTNET\\pratibal', 'pid': 8772, 'vms': 11.40625} 
{'name': 'explorer.exe', 'username': 'NTNET\\pratibal', 'pid': 8932, 'vms': 99.09765625} 
{'name': 'svchost.exe', 'username': None, 'pid': 8936, 'vms': 6.1328125} 
{'name': 'hidfind.exe', 'username': 'NTNET\\pratibal', 'pid': 9232, 'vms': 2.5859375} 
{'name': 'ApntEx.exe', 'username': 'NTNET\\pratibal', 'pid': 9356, 'vms': 2.828125} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 9376, 'vms': 313.5390625} 
{'name': 'taskhostw.exe', 'username': 'NTNET\\pratibal', 'pid': 9388, 'vms': 9.69140625} 
{'name': 'CcmExec.exe', 'username': None, 'pid': 9428, 'vms': 41.9375} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 9584, 'vms': 39.0234375} 
{'name': 'conhost.exe', 'username': 'NTNET\\pratibal', 'pid': 9620, 'vms': 6.640625} 
{'name': 'svchost.exe', 'username': None, 'pid': 9844, 'vms': 2.26953125} 
{'name': 'svchost.exe', 'username': None, 'pid': 9892, 'vms': 3.96484375} 
{'name': 'SystemSettings.exe', 'username': 'NTNET\\pratibal', 'pid': 9912, 'vms': 17.890625} 
{'name': 'svchost.exe', 'username': None, 'pid': 9944, 'vms': 2.6875} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 10188, 'vms': 251.8359375} 
{'name': 'svchost.exe', 'username': None, 'pid': 10528, 'vms': 7.1875} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 10584, 'vms': 5.765625} 
{'name': 'ShellExperienceHost.exe', 'username': 'NTNET\\pratibal', 'pid': 10656, 'vms': 133.67578125} 
{'name': 'MBAMAgent.exe', 'username': None, 'pid': 10696, 'vms': 3.66015625} 
{'name': 'svchost.exe', 'username': None, 'pid': 10868, 'vms': 3.30078125} 
{'name': 'RuntimeBroker.exe', 'username': 'NTNET\\pratibal', 'pid': 11132, 'vms': 10.828125} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 11188, 'vms': 54.38671875} 
{'name': 'RuntimeBroker.exe', 'username': 'NTNET\\pratibal', 'pid': 11256, 'vms': 8.7109375} 
{'name': 'CodeHelper.exe', 'username': 'NTNET\\pratibal', 'pid': 11384, 'vms': 12.19140625} 
{'name': 'svchost.exe', 'username': None, 'pid': 11396, 'vms': 2.66796875} 
{'name': 'dllhost.exe', 'username': 'NTNET\\pratibal', 'pid': 11436, 'vms': 4.09765625} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 11504, 'vms': 14.8515625} 
{'name': 'svchost.exe', 'username': None, 'pid': 11620, 'vms': 4.61328125} 
{'name': 'GoogleCrashHandler.exe', 'username': None, 'pid': 11708, 'vms': 2.1171875} 
{'name': 'svchost.exe', 'username': None, 'pid': 11748, 'vms': 4.62890625} 
{'name': 'ONENOTEM.EXE', 'username': 'NTNET\\pratibal', 'pid': 11776, 'vms': 3.27734375} 
{'name': 'svchost.exe', 'username': None, 'pid': 11976, 'vms': 3.33984375} 
{'name': 'GoogleCrashHandler64.exe', 'username': None, 'pid': 12080, 'vms': 2.13671875} 
{'name': 'iexplore.exe', 'username': 'NTNET\\pratibal', 'pid': 12104, 'vms': 61.34765625} 
{'name': 'RuntimeBroker.exe', 'username': 'NTNET\\pratibal', 'pid': 12132, 'vms': 6.13671875} 
{'name': 'svchost.exe', 'username': None, 'pid': 12408, 'vms': 3.51171875} 
{'name': 'A180AG.exe', 'username': None, 'pid': 12432, 'vms': 42.97265625} 
{'name': 'svchost.exe', 'username': None, 'pid': 12564, 'vms': 2.66015625} 
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 12780, 'vms': 3.47265625} 
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 12980, 'vms': 81.62109375} 
